Kevin Crowston,Syracuse University
Ioanna Lykourentzou,Luxembourg Institute of Science and Technology
Peter Tolmie,University of Siegen
Rob Procter,University of Warwick
Mark Rouncefield,Lancaster University
Maria Liakata,University of Warwick
Arkaitz Zubiaga,University of Warwick
Kiran Garimella,Aalto University
Gianmarco De Francisci Morales,Qatar Computing Research Institute
Aristides Gionis,Aalto University
Michael Mathioudakis,CNRS
Weichen Liu,University of California - San Diego
Sijia Xiao,Georgia Institute of Technology
Jacob T. Browne,University of California - San Diego
Steven P. Dow,University of California - San Diego
Fred Morstatter,USC Information Sciences Institute
Liang Wu 0006,Arizona State University
Uraz Yavanoglu,Gazi University
Stephen R. Corman,Arizona State University
Huan Liu 0001,Arizona State University
Elena Simperl,University of Southampton
Neal Reeves,University of Southampton
Chris Phethean,University of Southampton
Todd Lynes,University of Southampton
Ramine Tinati,University of Southampton
Yiding Zhang,Beijing University of Posts and Telecommunications
Binbin Hu,Beijing University of Posts and Telecommunications
Shenghua Liu,Chinese Academy of Sciences
Philip S. Yu,University of Illinois at Chicago
Yla R. Tausczik,University of Maryland - College Park
Rosta Farzan,University of Pittsburgh
John M. Levine,University of Pittsburgh
Robert E. Kraut,Carnegie Mellon University
Lionel P. Robert,University of Michigan
Andrea Forte,Drexel University
Claudia Müller 0002,University of Siegen
Michael Prilla,Clausthal University of Technology
Adriana S. Vivacqua,UFRJ
Karim Jabbar,University of Copenhagen
Pernille Bjørn,University of Copenhagen
Xianqi Yu,Shandong University
Yuqing Sun,Shandong University
Elisa Bertino,Purdue University
Steve T. K. Jan,Virginia Tech
Gang Wang 0011,Virginia Tech
Darshan Santani,Idiap Research Institute
Daniel Gatica-Perez,Idiap Research Institute
Yoram M. Kalman,Open University
Susan Gasson,Drexel University
Michelle Purcell,Drexel University
Nargess Tahmasbi,Pennsylvania State University
Elham Rastegari,University of Nebraska Omaha
Yubo Kou,Florida State University
Colin M. Gray,Purdue University
Austin L. Toombs,Purdue University
Robin S. Adams,Purdue University
Florian Daniel,Politecnico di Milano
Fabio Casati,University of Trento
Itzia Ruiz-Correa,University of Guanajuato
Fatima Alba Rendon-Huerta,University of Guanajuato
Beatriz Ramirez-Salazar,University of Guanajuato
Laurent Son Nguyen,Idiap Research Institute
Daniel Gatica-Perez,EPFL
Djellel Eddine Difallah,York University
Alessandro Checco,University of Sheffield
Gianluca Demartini,University of Queensland
Philippe Cudré-Mauroux,University of Fribourg
Roman Kern,Graz University of Technology
Markus Strohmaier,RWTH Aachen
Denis Helic,Graz University of Technology
Jin-Hee Cho,Virginia Polytechnic Institute and State University
John O'Donovan,University of California - Santa Barbara
Sibel Adali,Rensselaer Polytechnic Institute
Benjamin D. Horne,Rensselaer Polytechnic Institute
Oluwaseyi Feyisetan,University of Southampton
Elena Simperl,University of Southampton
Qunfang Wu,Syracuse University
Yisi Sang,Syracuse University
Yun Huang 0003,Syracuse University
Lisa Posch,Graz University of Technology
Arnim Bleier,GESIS - Leibniz Institute for the Social Sciences
Clemens Lechner,GESIS - Leibniz Institute for the Social Sciences
Daniel Danner,University of Applied Labour Studies
Fabian Flöck,GESIS - Leibniz Institute for the Social Sciences
Markus Strohmaier,RWTH Aachen
Ahmed Mourad,RMIT University
Falk Scholer,RMIT University
Walid Magdy,University of Edinburgh
Mark Sanderson,RMIT University
Yla R. Tausczik,University of Maryland - College Park
Xiaoyun Huang,University of Maryland - College Park
Darryl Wright,University of Minnesota
Lucy Fortson,University of Minnesota
Chris J. Lintott,University of Oxford
Michael Laraia,University of Minnesota
Mike Walmsley,University of Oxford
Andreas Kotsios,Uppsala University
Matteo Magnani,Uppsala University
Davide Vega,Uppsala University
Luca Rossi 0003,IT University Copenhagen
Irina Shklovski,IT University Copenhagen
Yoram M. Kalman,Open University
Abdur Rahim Mohammad Forkan,Swinburne University of Technology
Philip Branch,Swinburne University of Technology
Prem Prakash Jayaraman,Swinburne University of Technology
Marika Cifor,University of Washington
Patricia Garcia,University of Michigan
Matthew Baucum,University of Southern California
Jinshu Cui,University of Southern California
Richard S. John,University of Southern California
Anne Carolin Fleischmann,University of Southern California
Jolanta Aritz,University of Southern California
Peter W. Cardon,University of Southern California
Kurt Luther,Virginia Tech
Andrea L. Kavanaugh,Virginia Tech
Jacob Thebault-Spieker,Virginia Tech
Judd Antin,Airbnb
Katie Z. Gach,University of Colorado
Jed R. Brubaker,University of Colorado
Helen S. Jones,University of Central Lancashire
Wendy Moncur,University of Dundee
Emily Porter,University of Washington
P. M. Krafft,University of Oxford
Brian Keegan,University of Colorado
Ofer Arazy,University of Haifa
Aron Lindberg,Stevens Institute of Technology
Shakked Lev,University of Haifa
Kexian Wu,Stevens Institute of Technology
Alex Yarovoy,University of Haifa
Horacio Saggion,Universitat Pompeu Fabra
Emre Kiciman,Microsoft
Amit P. Sheth,University of South Carolina
Konstantin Kobs,Julius Maximilians University Würzburg
Albin Zehe,Julius Maximilians University Würzburg
Armin Bernstetter,Julius Maximilians University Würzburg
Julian Chibane,Julius Maximilians University Würzburg
Jan Pfister,Julius Maximilians University Würzburg
Julian Tritscher,Julius Maximilians University Würzburg
Andreas Hotho,Julius Maximilians University Würzburg
Yunhe Feng,University of Tennessee
Zheng Lu 0005,University of Tennessee
Wenjun Zhou 0001,University of Tennessee
Qing Cao,University of Tennessee
Joongyum Kim,KAIST
Taesik Gong,KAIST
Bogoan Kim,Ajou University
Jaeyeon Park,Yonsei university
Woojeong Kim,Ajou University
Evey Huang,Northwestern University
Kyungsik Han,Ajou University
Juho Kim,KAIST
JeongGil Ko,Yonsei University
Sung-Ju Lee,KAIST
Susan C. Herring,University of Indiana Bloomington
Ashley R. Dainas,University of Indiana Bloomington
Alexander Robertson,University of Edinburgh
Walid Magdy,University of Edinburgh
Sharon Goldwater,University of Edinburgh
Sarah Alismail,Claremont Graduate University
Hengwei Zhang,Claremont Graduate University
Ericsson Marin,Arizona State University
Ruocheng Guo,Arizona State University
Paulo Shakarian,Arizona State University
Ian D. Wood,Macquarie Univeristy
Paul Buitelaar,National University of Ireland
Mohammad Al-Ramahi,Texas A&M University
Cherie Noteboom,Dakota State University
Tianshu Lyu,Peking University
Lidong Bing,Alibaba Group
Yan Zhang 0004,Peking University
Sajedul Rahim Talukder,Edinboro University
Bogdan Carbunar,Florida International University
Daniel Franzmann,Goethe University Frankfurt
Arvid Alexander Eichner,Goethe University Frankfurt
Roland Holten,Goethe University Frankfurt
Lucas Santos de Oliveira,Federal University of Minas Gerais
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais
Marcelo S. Amaral,State University of Southwestern of Bahia
José Antônio G. Pinho,Federal University of Bahia
Pamela J. Wisniewski,University of Central Florida
Karla A. Badillo-Urquiola,University of Central Florida
Zahra Ashktorab,IBM
Jessica Vitak,University of Maryland - College Park
Alex Yarovoy,University of Haifa
Yiftach Nagar,University of Haifa
Einat Minkov,University of Haifa
Ofer Arazy,University of Haifa
Joshua M. Chamberlain,Boise State University
Francesca Spezzano,Boise State University
Jaclyn J. Kettler,Boise State University
Bogdan Dit,Boise State University
Amro Khasawneh,Johns Hopkins University
Kapil Chalil Madathil,Clemson University
Heidi Zinzow,Clemson University
Pamela J. Wisniewski,University of Central Florida
Amal Ponathil,Clemson University
Hunter Rogers,Clemson University
Sruthy Agnisarman,Clemson University
Rebecca Roth,Clemson University
Meera Narasimhan,University of South Carolina
Milad Mirbabaie,University of Bremen
Felix Brünker,University of Duisburg-Essen
Magdalena Wischnewski,University of Duisburg-Essen
Judith Meinert,University of Duisburg-Essen
Jani Holopainen,University of Helsinki
Osmo Mattila,University of Eastern Finland
Petri Parvinen,Aalto University
Essi Pöyry,University of Helsinki
Tuure Tuunanen,University of Jyväskylä
Sandeep Purao,Bentley University
David M. Murungi,Bentley University
David J. Yates,Bentley University
Simo Järvelä,Aalto University
Benjamin Cowley 0001,University of Helsinki
Mikko Salminen,Tampere University
Giulio Jacucci,University of Helsinki
Juho Hamari,Tampere University
Niklas Ravaja,University of Helsinki
David W. McDonald,University of Washington
Mark Zachry,University of Washington
Wanru Li,George Mason University
Kathryn B. Laskey,George Mason University
James D. Lee,George Mason University
